Country,County,Population,Population Density,Population Density Miles,Area,Area Miles,Time
Guinea,NZerekore,"1,663,582",44/km2,110/sq mi,"37,658 km2","14,540 sq mi)",2014
Guinea,Boke,"1,081,445",35/km2,90/sq mi,"31,186 km2","12,041 sq mi",2014
Guinea,Faranah,"942,733",26/km2 ,69/sq mi,"35,581 km2","13,738 sq mi",2014
Guinea,Kindia,"1,559,185",54/km2,140/sq mi),"28,873 km2","11,148 sq mi",2014
Guinea,Mamou,"732,117",43/km2,110/sq mi,"17,074 km2","6,592 sq mi",2014
Liberia,Bomi,"84,119",42.2/km2,109/sq mi,"1,932 km2",746 sq mi,2008
Liberia,Bong,"328,919",37.5/km2,97/sq mi,"8,754 km2","3,380 sq mi",2008
Liberia,Gbarpolu,"83,758",8.6/km2,22/sq mi,"9,689 km2","3,741 sq mi",2008
Liberia,GrandBassa,"224,839",28.3/km2,73/sq mi,"7,936 km2","3,064 sq mi",2008
Liberia,Margibi,"199,689",76.3/km2,198/sq mi,"2,616 km2","1,010 sq mi",2008
Liberia,Grand Gedeh,"126,146",12/km2,30/sq mi,"10,484 km2","4,048 sq mi",2008
Liberia,Grand Cape Mount,"129,055",25/km2,60/sq mi,"5,162 km2","1,993 sq mi",2008
Liberia,Grand Kru,"57,106",14.7/km2,38/sq mi,"3,895 km2","1,504 sq mi",2008
Liberia,Lofa,"270,114",27.1/km2,70/sq mi,"9,982 km2","3,854 sq mi",2008
Sierra Leone,Kailahun,"409,520",110/km2,270/sq mi,"3,859 km2","1,490 sq mi",2010
Sierra Leone,Bo,"561,524",102.56/km2,256/sq mi,"5,473.6 km2","2,113.4 sq mi",2010
Sierra Leone,Kenema,"545,327",,,"6,053 km2","2,337 sq mi",
Sierra Leone,Koinadugu,"265,765",,,"12,121 km2 ",,2004
Sierra Leone,Moyamba,"260,910",,,"6,902 km2","2,665 sq mi",2004
Sierra Leone,Bombali,"434,319",,,"7,985 km2","3,083 sq mi",2010
Sierra Leone,Freetown,"1,200,000",,,357 km2,138 sq mi,2010
Sierra Leone,Kambia,"313,765",,,"3,108 km2","1,200 sq mi",2010
Sierra Leone,Kono,"352,328",,,,,2010
Sierra Leone,Port Loko,"500,992",,,"5,719 km2","2,208 sq mi",2010
Sierra Leone,Bonthe,"140,845",,,"3,468 km2","1,339 sq mi",2010
Sierra Leone,Pujehun,"292,543",,,"4,105 km2","1,585 sq mi",2010
Sierra Leone,Tonkolili,"375,363",,,"7,003 km2","2,704 sq mi",2010
Sierra Leone,Western Area,,,,,,
Sierra Leone,Western Area Rural,"197,098",,,,,2013
Sierra Leone,Western Area Urban,"1,273,022",,,,,2007
Mali,Kayes,,,,,,
Mali,Koutiala,,,,,,
Mali,Koulikoro,,,,,,
Mali,Kati,,,,,,
Mali,Kour_Mal_,,,,,,
Mali,S_Lingu_,,,,,,
Mali,Commune 1,,,,,,
Mali,Commune 2,,,,,,
Mali,Commune 4,,,,,,
Mali,Commune 5,,,,,,
Mali,National,,,,,,
Nigeria,National,,,,,,
Nigeria,Lagos,"21,000,000",999.6 km2,385.9 sq mi,"20,008/km2","51,820/sq mi",2012
Nigeria,Rivers,,,,,,
Senegal,National,,,,,,
Senegal,Dakar,"2,452,656",547 km2,211 sq mi,"4,484/km2","11,610/sq mi",
Senegal,District Nord,,,,,,
Senegal,Mbao,,,,,,
