FID,the_geom,UNIT_CODE,UNIT_NAME,STATUS,PLACE_NAME,ADM2_NAME,ADM1_NAME,LATITUDE,LONGITUDE,BEDS_OPEN,BEDS_PLAN,PLAN_OPEN,SUPPORTING,COMMENT,VALID_DATE,ACCURACY,CONT_NAME,CONT_EMAIL,CONT_PH
gin_heal_etu_pt_govt_etulocation.1,POINT (-9.46558200499993 8.51824),ETC-GIN-011,Macenta,OPEN,Macenta,Macenta,Nzerekore Region,8.541,-9.471,10,70,2014-11-19T16:44:30.494,FRENCH RED CROSS,,2014-11-17T00:00:00,GPS Courtest of WHO,,,
gin_heal_etu_pt_govt_etulocation.2,POINT (-10.120963604999929 8.552846),ETC-GIN-010,Gueckedou,OPEN,Gueckedou,Gueckedou,Nzerekore Region,8.562,-10.133,100,100,2014-11-19T13:39:27.826,MSF,,2014-11-17T00:00:00,GPS Courtest of WHO,,,
gin_heal_etu_pt_govt_etulocation.3,POINT (-13.683193 9.535421),ETC-GIN-001,Conakry Donka Hospital,OPEN,Conakry Donka Hospital,Conakry,Conakry Region,9.535,-13.683,60,60,2014-11-19T16:44:30.911,MSF,,2014-11-17T00:00:00,GPS Courtest of WHO,,,
gin_heal_etu_pt_govt_etulocation.4,POINT (-13.42080615 9.730112226),ETC-GIN-003,Coyah,UNDER CONSTRUCTION,Coyah,Coyah,Kindia Region,9.73,-13.421,0,70,2014-12-01T00:00:00,Cuba?,,2014-11-17T00:00:00,,,,
gin_heal_etu_pt_govt_etulocation.5,POINT (-12.24763776 10.68507588),ETC-GIN-005,Dalaba,UNDER CONSTRUCTION,Dalaba,Dalaba,Mamou Region,10.685,-12.248,0,70,2014-11-19T16:44:31.279,NONE,,2014-11-17T00:00:00,,,,
gin_heal_etu_pt_govt_etulocation.6,POINT (-9.003259373 9.27412715),ETC-GIN-002,Nzerekore,UNDER CONSTRUCTION,Nzerekore,Nzerekore,Kankan Region,9.274,-9.003,0,50,2014-12-15T00:00:00,NONE,,2014-11-17T00:00:00,,,,
gin_heal_etu_pt_govt_etulocation.7,POINT (-8.81962135 7.755827287),ETC-GIN-007,Nzerekore,UNDER CONSTRUCTION,Nzerekore,Nzerekore,Nzerekore Region,7.756,-8.82,0,70,2014-12-01T00:00:00,ALIMA,,2014-11-17T00:00:00,,,,
gin_heal_etu_pt_govt_etulocation.8,POINT (-9.26169263 7.567638404),ETC-GIN-008,Yomou,UNDER CONSTRUCTION,Yomou,Yomou,Nzerekore Region,7.568,-9.262,0,70,2014-11-19T16:44:31.743,NONE,,2014-11-17T00:00:00,,,,
gin_heal_etu_pt_govt_etulocation.9,POINT (-8.648371164 8.689988011),ETC-GIN-009,Beyla,UNDER CONSTRUCTION,Beyla,Beyla,Nzerekore Region,8.69,-8.648,0,70,2014-12-15T00:00:00,NONE,,2014-11-17T00:00:00,,,,
gin_heal_etu_pt_govt_etulocation.10,POINT (-12.08298682 10.37237752),ETC-GIN-006,Mamou,UNDER CONSTRUCTION,Mamou,Mamou,Mamou Region,10.372,-12.083,0,70,2014-11-19T16:44:32.045,NONE,,2014-11-17T00:00:00,,,,
