FID,the_geom,UNIT_CODE,UNIT_NAME,STATUS,PLACE_NAME,ADM2_NAME,ADM1_NAME,LATITUDE,LONGITUDE,BEDS_OPEN,BEDS_PLAN,PLAN_OPEN,SUPPORTING,COMMENT,VALID_DATE,ACCURACY,CONT_NAME,CONT_EMAIL,CONT_PH
lbr_heal_etu_pt_govt_etulocation.1,POINT (-8.860277999999937 6.492222000000027),ETU_LBR_026,Tappita,Planned,Tapita,Doe,Nimba,6.492,-8.86,0,100,2014-11-29T00:00:00,Heart to Heart,,2014-11-16T00:00:00,Needs location validation,,,
lbr_heal_etu_pt_govt_etulocation.2,POINT (-10.773916999999926 6.287196000000051),ETU_LBR_012,JFK hospital,Closed,Monrovia,Greater Monrovia,Montserrado,6.287,-10.774,0,0,,MoH/WHO,Validate closure date (latest info was 2014/10/13),2014-11-16T00:00:00,Needs location validation,,,
lbr_heal_etu_pt_govt_etulocation.3,POINT (-8.133332999999936 6.066667000000052),ETU_LBR_030,Zwedru,Planned,Zwedru,Tchien,Grand Gedeh,6.067,-8.133,0,50,2014-12-01T00:00:00,Partners in Health,,2014-11-16T00:00:00,Needs location validation,,,
lbr_heal_etu_pt_govt_etulocation.4,POINT (-10.48655999999994 7.079609000000062),ETU_LBR_002,Bopulu,Planned,Bopolu,Bopolu,Gbarpolu,7.08,-10.487,0,50,2014-12-09T00:00:00,USG Contractor,Referred: Bopolu (DoD) & Gbarpolu (Lbr dashboard),2014-11-16T00:00:00,Needs location validation,,,
lbr_heal_etu_pt_govt_etulocation.5,POINT (-11.36666699999995 6.750000000000057),ETU_LBR_024,Robersport,Completed,Kru Town,Commonwealth,Grand Cape Mount,6.75,-11.367,0,100,,N/A,Check location & status (WHO have diff location),2014-11-16T00:00:00,Needs location validation,,,
lbr_heal_etu_pt_govt_etulocation.6,POINT (-10.368596999999966 6.532529000000068),ETU_LBR_013,Kakata,Under Construction,Kakata,Kakata,Margibi,6.533,-10.369,0,70,2014-11-10T00:00:00,SCF/IMC,Check whether open,2014-11-16T00:00:00,Needs location validation,,,
lbr_heal_etu_pt_govt_etulocation.7,POINT (-10.339147999999966 6.53016800000006),ETU_LBR_014,Kakata II,Under Construction,Kakata,Kakata,Margibi,6.53,-10.339,0,100,2014-12-17T00:00:00,N/A,"Check PPT, WHO listed as Under Construction",2014-11-16T00:00:00,Needs location validation,,,
lbr_heal_etu_pt_govt_etulocation.8,POINT (-9.749999999999943 8.416667000000075),ETU_LBR_028,Vonjima,Planned,Voinjama,Voinjama,Lofa,8.417,-9.75,0,50,2014-11-29T00:00:00,WAHA,,2014-11-16T00:00:00,Needs location validation,,,
lbr_heal_etu_pt_govt_etulocation.9,POINT (-9.415466999999978 7.774293000000057),ETU_LBR_029,Zorzor,Planned,Zorzor,Zorzor,Lofa,7.774,-9.415,0,50,2014-12-03T00:00:00,USG Contractor,,2014-11-16T00:00:00,Needs location validation,,,
lbr_heal_etu_pt_govt_etulocation.10,POINT (-10.702040999999952 6.256981000000053),ETU_LBR_021,SKD 1,Under Construction,Wamba Town,Greater Monrovia,Montserrado,6.257,-10.702,0,100,2014-11-15T00:00:00,IRC,,2014-11-16T00:00:00,Needs location validation,,,
lbr_heal_etu_pt_govt_etulocation.11,POINT (-10.702081999999962 6.258315000000039),ETU_LBR_022,SKD 2,Under Construction,Wamba Town,Greater Monrovia,Montserrado,6.258,-10.702,0,100,2014-11-20T00:00:00,German RC/German Armed Forces,,2014-11-16T00:00:00,Needs location validation,,,
lbr_heal_etu_pt_govt_etulocation.12,POINT (-10.94747609999996 6.546739000000059),ETU_LBR_025,Sinje,Under Construction,Klay,St. Paul River,Montserrado,6.547,-10.947,0,100,2014-11-20T00:00:00,IOM,,2014-11-16T00:00:00,ROUGH - needs validation - Sinje vs. Senjeh.,,,
lbr_heal_etu_pt_govt_etulocation.13,POINT (-10.79287734835228 6.389035164960993),ETU_LBR_023,Unity Conference Centre,Completed,Monrovia,St. Paul River,Montserrado,6.389,-10.793,0,96,2014-11-16T00:00:00,IOM,,2014-11-16T00:00:00,Location updated to OSM Feature. Needs Validation,,,
lbr_heal_etu_pt_govt_etulocation.14,POINT (-10.787118692243 6.384380652684859),ETU_LBR_020,Montserrado (Island Clinic),Open,Monrovia,Greater Monrovia,Montserrado,6.384,-10.787,150,100,2014-11-16T00:00:00,MoH/WHO/AU,,2014-11-17T00:00:00,British Red Cross - GPS,,,
lbr_heal_etu_pt_govt_etulocation.15,POINT (-10.830939718640426 6.8673400554169834),ETU_LBR_027,Bomi (Tubmanburg),Open,Tubmanburg,Senjeh,Bomi,6.867,-10.831,27,27,2014-11-16T00:00:00,BOMI CHT,,2014-11-17T00:00:00,British Red Cross - GPS,,,
lbr_heal_etu_pt_govt_etulocation.16,POINT (-8.981388999999979 7.237500000000068),ETU_LBR_008,Nimba (Ganta),Open,Ganta,Garr-Bain,Nimba,7.238,-8.981,36,36,2014-11-16T00:00:00,NIMBA CHT/Methodist Church,Are their 2 (listed in Lbr dashboard & WHO xls),2014-11-16T00:00:00,Needs Validation,,,
lbr_heal_etu_pt_govt_etulocation.17,POINT (-8.978999999999928 7.242310000000032),ETU_LBR_031,Ganta,Planned,Ganta,Garr-Bain,Nimba,7.242,-8.979,0,50,2014-12-04T00:00:00,PCI,Created to match LBR dashboard (location USA DoD),2014-11-16T00:00:00,Needs Validation,,,
lbr_heal_etu_pt_govt_etulocation.18,POINT (-7.755559999999946 5.196390000000065),ETU_LBR_006,Fish Town,Planned,Fish Town,Sarbo,River Gee,5.196,-7.756,0,50,2014-12-20T00:00:00,ARC,,2014-11-16T00:00:00,ROUGH,,,
lbr_heal_etu_pt_govt_etulocation.19,POINT (-7.700941999999941 4.375968000000057),ETU_LBR_011,Harper,Planned,Harper,Harper,Maryland,4.376,-7.701,0,100,2014-12-20T00:00:00,PIH,,2014-11-16T00:00:00,ROUGH,,,
lbr_heal_etu_pt_govt_etulocation.20,POINT (-8.233563999999944 4.676969000000042),ETU_LBR_001,Barclayville,Planned,Barclayville,Barclayville,Grand Kru,4.677,-8.234,0,50,2014-12-07T00:00:00,USG Contractor,,2014-11-16T00:00:00,ROUGH,,,
lbr_heal_etu_pt_govt_etulocation.21,POINT (-9.03333299999997 5.016667000000041),ETU_LBR_010,Greenville,Planned,Greenville,Greenville,Sinoe,5.017,-9.033,0,50,2014-12-20T00:00:00,USG Contractor,,2014-11-16T00:00:00,ROUGH,,,
lbr_heal_etu_pt_govt_etulocation.22,POINT (-9.565719999999942 5.469295000000045),ETU_LBR_004,Cestos City,Planned,Rivercess,Zarflahn,Rivercess,5.469,-9.566,0,50,2014-12-09T00:00:00,USG Contractor,,2014-11-16T00:00:00,ROUGH,,,
lbr_heal_etu_pt_govt_etulocation.23,POINT (-10.731190999999967 6.268152000000043),ETU_LBR_017,MoD 2,Completed,Monrovia,Greater Monrovia,Montserrado,6.268,-10.731,0,0,2014-11-16T00:00:00,WFP/Swedish FMT,Possible training site,2014-11-16T00:00:00,Needs Validation,,,
lbr_heal_etu_pt_govt_etulocation.24,POINT (-10.469719989517774 6.3530599765671045),ETU_LBR_005,Margibi (Firestone),Open,Harbel City,Firestone,Margibi,6.353,-10.47,31,31,2014-11-16T00:00:00,Firestone,,2014-11-17T00:00:00,British Red Cross - GPS,,,
lbr_heal_etu_pt_govt_etulocation.25,POINT (-10.801388999999972 6.313333000000057),ETU_LBR_015,Monrovia Medical Unit,Open,Monrovia,Greater Monrovia,Montserrado,6.313,-10.801,25,25,2014-11-16T00:00:00,USPHS,"Was listed as 'Monrovia', needs verification",2014-11-16T00:00:00,Needs Validation,,,
lbr_heal_etu_pt_govt_etulocation.26,POINT (-10.700280000091926 6.244439993504849),ETU_LBR_019,Montserrado (ELWA 3),Open,Wamba Town,Greater Monrovia,Montserrado,6.244,-10.7,250,250,2014-11-16T00:00:00,MSF,,2014-11-17T00:00:00,British Red Cross - GPS,,,
lbr_heal_etu_pt_govt_etulocation.27,POINT (-10.695999998999298 6.23965000224026),ETU_LBR_018,Montserrado (ELWA 2),Open,Wamba Town,Greater Monrovia,Montserrado,6.24,-10.696,100,100,2014-11-16T00:00:00,MoH/WHO,,2014-11-17T00:00:00,British Red Cross - GPS,,,
lbr_heal_etu_pt_govt_etulocation.28,POINT (-10.046666999999957 5.880833000000052),ETU_LBR_003,Buchanan,Under Construction,Buchanan,Commonwealth2,Grand Bassa,5.881,-10.047,0,100,2014-11-22T00:00:00,IOM,,2014-11-16T00:00:00,ROUGH,,,
lbr_heal_etu_pt_govt_etulocation.29,POINT (-10.734170003526751 6.270279994939401),ETU_LBR_016,MoD,Open,Monrovia,Greater Monrovia,Montserrado,6.27,-10.734,10,100,2014-11-16T00:00:00,N/A,,2014-11-17T00:00:00,British Red Cross - GPS,,,
lbr_heal_etu_pt_govt_etulocation.30,POINT (-9.55499997550416 7.004720008801587),ETU_LBR_009,Bong (Suakoko),Open,Gbarnga,Jorquelleh,Bong,7.005,-9.555,52,70,2014-11-16T00:00:00,IMC,Validate Name,2014-11-17T00:00:00,British Red Cross - GPS,,,
lbr_heal_etu_pt_govt_etulocation.31,POINT (-10.205756652768917 8.378911295557394),ETU_LBR_007,Lofa (Foya),Open,Foya,Foya,Lofa,8.379,-10.206,40,140,2014-11-16T00:00:00,MSF,,2014-11-17T00:00:00,British Red Cross - GPS,,,
